file_name,sample_ID,tank,pH,total area (um),egg area,egg area threshold (um),number of eggs,egg area (based on ind eggs),mean egg size,sd egg size,follicle area,no tissue area,connective tissue area (egg based on indiv),connective tissue area (egg based collective)
20190123-006-10X_crop.jpg,006,1,low,18778.779,909.899,0.9,197,672.338,3.412883249,3.272673541,2674.495,10541.34,7565.101,7327.54
20190123-13-10X_crop.jpg,13,3,ambient,16750.968,915.246,0.9,179,683.915,3.82075419,2.866081433,6655.435,11951.743,4115.31,3883.979
20190123-017-10X_crop.jpg,17,3,ambient,17297.868,2117.621,0.9,285,2010.441,7.054178947,5.544615068,11214.55,11214.55,4072.877,3965.697
20190123-028-10X_crop.jpg,028,2,low,15082.445,2088.997,0.9,338,1919.869,5.680085799,4.974518921,9084.454,9084.454,4078.122,3908.994
20190123-034-10X_crop.jpg,034,2,low,16247.972,1057.436,0.9,278,841.715,3.027751799,1.928735369,7829.505,7829.505,7576.752,7361.031
20190123-045-10X_crop.jpg,045,4,ambient,16454.019,2777.784,0.9,350,2613.96,7.468457143,6.482252604,10646.597,10646.597,3193.462,3029.638
20190123-050-10X_crop.jpg,050,4,ambient,15833.989,2414.22,0.9,366,2122.089,5.798057377,5.998506357,7199.997,7199.997,6511.903,6219.772
20190123-052-10X_crop.jpg,052,4,ambient,17182.394,2482.651,0.9,376,2328.035,6.191582447,5.3960638,10016.127,10016.127,4838.232,4683.616
20190221-6-10X_crop.jpg,6,3,ambient,17961.684,2492.933,0.9,248,2427.162,9.786943548,6.577719718,12695.705,12695.705,2838.817,2773.046
20190221-7-10X_crop.jpg,7,3,ambient,18160.503,2391.078,0.9,392,2123.467,5.417007653,5.892839098,8893.522,8893.522,7143.514,6875.903
20190221-8-10X_crop.jpg,8,3,ambient,15572.092,2044.305,0.9,395,1812.686,4.589078481,4.281865109,8452.98,8452.98,5306.426,5074.807
20190221-009-10X_crop.jpg,009,1,low,16351.713,2307.295,0.9,274,2214.464,8.081985401,6.682058044,10702.029,10702.029,3435.22,3342.389
20190221-14-10X_crop.jpg,14,3,ambient,23912.529,3531.299,0.9,377,3267.672,8.667564987,13.82796713,13950.254,13950.254,6694.603,6430.976
20190221-015-10X_crop.jpg,015,1,low,18510.524,2475.571,0.9,309,2311.305,7.479951456,7.814081899,10372.08,10372.08,5827.139,5662.873
20190221-025-10X_crop.jpg,025,2,low,18711.818,1494.301,0.9,274,1327.833,4.846105839,4.235016288,13064.158,13064.158,4319.827,4153.359
20190221-053-10X_crop.jpg,053,4,ambient,17939.511,1468.335,0.9,316,1211.273,3.833142405,3.027298135,5704.828,5704.828,11023.41,10766.348
20190221-057-10X_crop.jpg,057,4,ambient,24009.19,1310.14,0.9,203,1136.277,5.597423645,5.196059964,8359.844,8359.844,14513.069,14339.206
20190221-059-10X_crop.jpg,059,4,ambient,15432.722,3574.748,0.9,289,3439,11.89965398,12.12700037,8411.216,8411.216,3582.506,3446.758
20190221-060-10X_crop.jpg,060,4,ambient,22910.602,2720.876,0.9,334,2427.348,7.267508982,8.644108383,12494.5,12494.5,7988.754,7695.226